# Mach-Number Intake,Mach-Number Outlet,temperature Intake,temperature Outlet,f,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,case
 (1.724348068237304688e-01+0.000000000000000000e+00j), (5.782053992152214050e-02+0.000000000000000000e+00j), (2.999235534667968750e+02+0.000000000000000000e+00j), (3.540271301269531250e+02+0.000000000000000000e+00j), (3.800000000000000000e+02+0.000000000000000000e+00j), (5.728657171130180359e-02-4.478687420487403870e-02j), (6.456420570611953735e-02-4.897524788975715637e-02j), (4.510305356234312057e-03+2.267938479781150818e-02j), (-2.822709502652287483e-03-3.432099148631095886e-02j), (-8.334354497492313385e-03-3.917870670557022095e-02j), (-1.953643746674060822e-02-1.747245714068412781e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.724348068237304688e-01+0.000000000000000000e+00j), (5.782053992152214050e-02+0.000000000000000000e+00j), (2.999235534667968750e+02+0.000000000000000000e+00j), (3.540271301269531250e+02+0.000000000000000000e+00j), (3.800000000000000000e+02+0.000000000000000000e+00j), (-4.060400277376174927e-02+6.285972148180007935e-02j), (-4.571505263447761536e-02+6.958080828189849854e-02j), (-1.049560587853193283e-02-1.982245966792106628e-02j), (1.456440240144729614e-02+3.171381354331970215e-02j), (2.245015837252140045e-02+3.560058400034904480e-02j), (2.581754699349403381e-02+9.572054259479045868e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.724348068237304688e-01+0.000000000000000000e+00j), (5.782053992152214050e-02+0.000000000000000000e+00j), (2.999235534667968750e+02+0.000000000000000000e+00j), (3.540271301269531250e+02+0.000000000000000000e+00j), (3.800000000000000000e+02+0.000000000000000000e+00j), (1.839650329202413559e-03+3.290380164980888367e-02j), (9.929457679390907288e-03+3.365686535835266113e-02j), (9.399800561368465424e-03-1.883418858051300049e-02j), (2.029320783913135529e-02-1.842185854911804199e-02j), (3.636286407709121704e-02-4.125857260078191757e-03j), (4.150312021374702454e-02+4.323469474911689758e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.724348068237304688e-01+0.000000000000000000e+00j), (5.782053992152214050e-02+0.000000000000000000e+00j), (2.999235534667968750e+02+0.000000000000000000e+00j), (3.540271301269531250e+02+0.000000000000000000e+00j), (3.800000000000000000e+02+0.000000000000000000e+00j), (3.621399402618408203e-03+3.932465240359306335e-02j), (1.339471060782670975e-02+3.985160961747169495e-02j), (1.057058852165937424e-02-2.303964458405971527e-02j), (2.477338537573814392e-02-2.257275767624378204e-02j), (4.373219236731529236e-02-7.337536662817001343e-03j), (5.105512216687202454e-02+5.002543702721595764e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725953966379165649e-01+0.000000000000000000e+00j), (5.649904906749725342e-02+0.000000000000000000e+00j), (2.999294738769531250e+02+0.000000000000000000e+00j), (3.541496582031250000e+02+0.000000000000000000e+00j), (3.900000000000000000e+02+0.000000000000000000e+00j), (5.628206301480531693e-03-7.217139005661010742e-02j), (6.616672500967979431e-03-7.486412674188613892e-02j), (2.197459526360034943e-02+2.892776578664779663e-02j), (-2.734776958823204041e-02-1.446338556706905365e-02j), (-3.739353269338607788e-02-1.204101741313934326e-02j), (-2.913914993405342102e-02+1.039728615432977676e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725953966379165649e-01+0.000000000000000000e+00j), (5.649904906749725342e-02+0.000000000000000000e+00j), (2.999294738769531250e+02+0.000000000000000000e+00j), (3.541496582031250000e+02+0.000000000000000000e+00j), (3.900000000000000000e+02+0.000000000000000000e+00j), (9.475132450461387634e-03+7.262349873781204224e-02j), (9.112094528973102570e-03+7.543854415416717529e-02j), (-2.800582163035869598e-02-2.443538047373294830e-02j), (2.960189245641231537e-02+8.724699728190898895e-03j), (3.966217860579490662e-02+5.160782486200332642e-03j), (2.669877745211124420e-02-1.608691550791263580e-02j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725953966379165649e-01+0.000000000000000000e+00j), (5.649904906749725342e-02+0.000000000000000000e+00j), (2.999294738769531250e+02+0.000000000000000000e+00j), (3.541496582031250000e+02+0.000000000000000000e+00j), (3.900000000000000000e+02+0.000000000000000000e+00j), (2.536250464618206024e-02+1.347725372761487961e-02j), (3.152566403150558472e-02+7.114739157259464264e-03j), (-7.143771741539239883e-03-1.843016967177391052e-02j), (1.394802331924438477e-02-2.919508144259452820e-02j), (3.462702780961990356e-02-2.351033873856067657e-02j), (5.073936283588409424e-02+2.333718165755271912e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725953966379165649e-01+0.000000000000000000e+00j), (5.649904906749725342e-02+0.000000000000000000e+00j), (2.999294738769531250e+02+0.000000000000000000e+00j), (3.541496582031250000e+02+0.000000000000000000e+00j), (3.900000000000000000e+02+0.000000000000000000e+00j), (3.193804249167442322e-02+1.788430660963058472e-02j), (3.999022766947746277e-02+9.776344522833824158e-03j), (-8.733366616070270538e-03-2.352748997509479523e-02j), (1.828165166079998016e-02-3.721367567777633667e-02j), (4.436158388853073120e-02-3.130776062607765198e-02j), (6.476178765296936035e-02+2.735702507197856903e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.724393218755722046e-01+0.000000000000000000e+00j), (5.661272630095481873e-02+0.000000000000000000e+00j), (2.999686279296875000e+02+0.000000000000000000e+00j), (3.541390075683593750e+02+0.000000000000000000e+00j), (4.000000000000000000e+02+0.000000000000000000e+00j), (-3.068022057414054871e-02-5.101780593395233154e-02j), (-2.838731929659843445e-02-5.095601826906204224e-02j), (3.884048387408256531e-02+1.437497325241565704e-02j), (-2.315120212733745575e-02+8.028348907828330994e-03j), (-2.721362002193927765e-02+1.965591125190258026e-02j), (-6.875238846987485886e-03+2.797011099755764008e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.724393218755722046e-01+0.000000000000000000e+00j), (5.661272630095481873e-02+0.000000000000000000e+00j), (2.999686279296875000e+02+0.000000000000000000e+00j), (3.541390075683593750e+02+0.000000000000000000e+00j), (4.000000000000000000e+02+0.000000000000000000e+00j), (3.835155069828033447e-02+4.937879368662834167e-02j), (3.589061275124549866e-02+4.953103139996528625e-02j), (-4.314849898219108582e-02-1.021835021674633026e-02j), (2.319582737982273102e-02-1.117805112153291702e-02j), (2.550387196242809296e-02-2.274998463690280914e-02j), (4.302910063415765762e-03-2.976483479142189026e-02j), (1.000000000000000000e+00+0.000000000000000000e+00j)
